basho,rank,rikishi,shusshin,weight_pounds,height_feet,height_feet_floor,height_inches_remainder,age,age_floor,country,count
2014.01,16,Aminishiki,Japan,335.16,6.102362205,6,1.228346457,35.22465753,35,Japan,1
2014.01,19,Kyokutenho,Mongolia,343.98,6.266404199,6,3.196850394,39.27945205,39,Mongolia,1
2019.01,7,Takakeisho,Japan,328.545,5.675853018,5,8.11023622,22.3890411,22,Japan,1
2019.01,22,Onosho,Japan,327.4425,5.774278215,5,9.291338583,22.47671233,22,Japan,2
2019.01,34,Meisei,Japan,264.6,5.905511811,5,10.86614173,23.42191781,23,Japan,1
2019.01,26,Asanoyama,Japan,348.39,6.200787402,6,2.409448819,24.81917808,24,Japan,1
2019.01,30,Abi,Japan,266.805,6.069553806,6,0.834645669,24.64383562,24,Japan,2
2019.01,33,Kagayaki,Japan,318.1815,6.332020997,6,3.984251969,24.56712329,24,Japan,3
2019.01,35,Yago,Japan,379.26,6.135170604,6,1.622047244,24.46575342,24,Japan,4
2019.01,24,Daieisho,Japan,299.2185,5.872703412,5,10.47244094,25.12328767,25,Japan,2
2019.01,37,Yutakayama,Japan,377.055,6.069553806,6,0.834645669,25.25753425,25,Japan,3
2019.01,12,Ichinojo,Mongolia,403.515,6.233595801,6,2.803149606,25.71780822,25,Mongolia,1
2019.01,10,Mitakeumi,Japan,328.545,5.872703412,5,10.47244094,26,26,Japan,1
2019.01,14,Hokutofuji,Japan,348.39,5.971128609,5,11.65354331,26.44657534,26,Japan,2
2019.01,41,Daiamami,Japan,368.235,6.069553806,6,0.834645669,26.02739726,26,Japan,3
2019.01,15,Shodai,Japan,330.75,5.971128609,5,11.65354331,27.1369863,27,Japan,1
2019.01,36,Kotoyuki,Japan,358.092,5.774278215,5,9.291338583,27.73150685,27,Japan,2
2019.01,40,Kotoeko,Japan,246.078,5.757874016,5,9.094488189,27.09589041,27,Japan,4
2019.01,42,Daishomaru,Japan,337.365,5.741469816,5,8.897637795,27.46027397,27,Japan,5
2019.01,38,Chiyoshoma,Mongolia,260.631,6.003937008,6,0.047244094,27.43287671,27,Mongolia,3
2019.01,4,Takayasu,Japan,359.415,6.135170604,6,1.622047244,28.82191781,28,Japan,1
2019.01,13,Nishikigi,Japan,329.6475,6.053149606,6,0.637795276,28.33424658,28,Japan,2
2019.01,23,Ryuden,Japan,319.725,6.299212598,6,3.590551181,28.12328767,28,Japan,3
2019.01,28,Endo,Japan,321.048,6.003937008,6,0.047244094,28.18356164,28,Japan,5
2019.01,39,Chiyonokuni,Japan,317.079,6.036745407,6,0.440944882,28.46027397,28,Japan,6
2019.01,27,Takanoiwa,Mongolia,320.8275,5.93832021,5,11.25984252,28.82739726,28,Mongolia,4
2019.01,21,Chiyotairyu,Japan,367.794,5.971128609,5,11.65354331,30.11232877,30,Japan,1
2019.01,11,Tochiozan,Japan,339.57,6.200787402,6,2.409448819,31.79726027,31,Japan,2
2019.01,29,Takarafuji,Japan,355.2255,6.102362205,6,1.228346457,31.84931507,31,Japan,3
2019.01,31,Sadanoumi,Japan,289.296,6.036745407,6,0.440944882,31.62465753,31,Japan,4
2019.01,6,Tochinoshin,Georgia,357.21,6.299212598,6,3.590551181,31.2,31,Foreign,1
2019.01,1,Kisenosato,Japan,390.285,6.167979003,6,2.015748031,32.47945205,32,Japan,1
2019.01,5,Goeido,Japan,348.831,6.003937008,6,0.047244094,32.72054795,32,Japan,2
2019.01,9,Myogiryu,Japan,326.34,6.135170604,6,1.622047244,32.17534247,32,Japan,3
2019.01,32,Ikioi,Japan,346.185,6.364829396,6,4.377952756,32.20547945,32,Japan,6
2019.01,19,Aoiyama,Bulgaria,424.683,6.299212598,6,3.590551181,32.51780822,32,Foreign,4
2019.01,25,Kaisei,Brazil,414.099,6.397637795,6,4.771653543,32.01917808,32,Foreign,5
2019.01,18,Okinoumi,Japan,339.57,6.233595801,6,2.803149606,33.40821918,33,Japan,3
2019.01,2,Hakuho,Mongolia,332.2935,6.332020997,6,3.984251969,33.79178082,33,Mongolia,1
2019.01,3,Kakuryu,Mongolia,330.75,6.102362205,6,1.228346457,33.37534247,33,Mongolia,2
2019.01,16,Shohozan,Japan,296.5725,5.807086614,5,9.68503937,34.8739726,34,Japan,2
2019.01,17,Kotoshogiku,Japan,390.285,5.905511811,5,10.86614173,34.90136986,34,Japan,3
2019.01,8,Tamawashi,Mongolia,355.005,6.233595801,6,2.803149606,34.10684932,34,Mongolia,1
2019.01,20,Yoshikaze,Japan,309.3615,5.741469816,5,8.897637795,36.76986301,36,Japan,1
